"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","n.minobsinnode","seed","id","id2","type"
"104",14,0.975100997609036,0.87090367428004,1,0.105263157894737,6173,15000,3,5e-04,4,4,"15000 3 5e-04 4","2","PCR"
"105",15,0.971513509445323,0.893184634448575,0.992565055762082,0.0666666666666667,4954,15000,3,5e-04,4,5,"15000 3 5e-04 4","2","PCR"
"106",16,0.974154589371981,0.885129490392648,0.992481203007519,0.0555555555555556,6054,15000,3,5e-04,4,6,"15000 3 5e-04 4","2","PCR"
"107",17,0.979110936270653,0.906367041198502,0.99250936329588,0,5318,15000,3,5e-04,4,7,"15000 3 5e-04 4","2","PCR"
"108",18,0.991859437159275,0.816666666666667,0.985185185185185,0.142857142857143,8377,15000,3,5e-04,4,8,"15000 3 5e-04 4","2","PCR"
"109",19,0.966734402047114,0.915737298636927,0.996282527881041,0,5333,15000,3,5e-04,4,9,"15000 3 5e-04 4","2","PCR"
"110",20,0.960778914240755,0.91231548799295,1,0,3370,15000,3,5e-04,4,10,"15000 3 5e-04 4","2","PCR"
"111",21,0.978921455496577,0.880130597014925,1,0,4182,15000,4,5e-04,4,1,"15000 4 5e-04 4","3","PCR"
"112",22,0.979415970497479,0.895662949194548,0.996282527881041,0,4098,15000,4,5e-04,4,2,"15000 4 5e-04 4","3","PCR"
"113",23,0.973382567889838,0.912779850746269,0.992537313432836,0.0625,4336,15000,4,5e-04,4,3,"15000 4 5e-04 4","3","PCR"
"114",24,0.981408195234562,0.872293942403178,1,0.105263157894737,5267,15000,4,5e-04,4,4,"15000 4 5e-04 4","3","PCR"
"115",25,0.980356739670355,0.891945477075589,0.992565055762082,0.0666666666666667,4968,15000,4,5e-04,4,5,"15000 4 5e-04 4","3","PCR"
"116",26,0.978462157809984,0.886800334168755,0.992481203007519,0.0555555555555556,4850,15000,4,5e-04,4,6,"15000 4 5e-04 4","3","PCR"
"117",27,0.985011801730921,0.906587354042741,0.99250936329588,0,4738,15000,4,5e-04,4,7,"15000 4 5e-04 4","3","PCR"
"118",28,0.99543244437896,0.815079365079365,0.985185185185185,0.0714285714285714,6669,15000,4,5e-04,4,8,"15000 4 5e-04 4","3","PCR"
"119",29,0.971588770979153,0.915985130111524,0.996282527881041,0,4389,15000,4,5e-04,4,9,"15000 4 5e-04 4","3","PCR"
"120",30,0.973052714398112,0.913196739369905,1,0,3370,15000,4,5e-04,4,10,"15000 4 5e-04 4","3","PCR"
"121",31,0.960304638818371,0.878148320895522,0.996268656716418,0.0625,3097,5000,2,0.001,4,1,"5000 2 0.001 4","4","PCR"
"122",32,0.958380371791977,0.894671623296159,0.985130111524164,0,2613,5000,2,0.001,4,2,"5000 2 0.001 4","4","PCR"
"123",33,0.950688514501115,0.912080223880597,0.988805970149254,0,2628,5000,2,0.001,4,3,"5000 2 0.001 4","4","PCR"
"124",34,0.962074367219062,0.868123138033764,1,0.0526315789473684,3443,5000,2,0.001,4,4,"5000 2 0.001 4","4","PCR"
"125",35,0.957815910288252,0.894919454770756,0.988847583643123,0.0666666666666667,2724,5000,2,0.001,4,5,"5000 2 0.001 4","4","PCR"
"126",36,0.963687600644123,0.884711779448622,0.992481203007519,0.0555555555555556,3565,5000,2,0.001,4,6,"5000 2 0.001 4","4","PCR"
"127",37,0.969944925255704,0.90306234853492,0.98876404494382,0.0588235294117647,3472,5000,2,0.001,4,7,"5000 2 0.001 4","4","PCR"
"128",38,0.984124060704288,0.807671957671958,0.981481481481482,0.0714285714285714,4997,5000,2,0.001,4,8,"5000 2 0.001 4","4","PCR"
"129",39,0.953036802890043,0.91548946716233,0.996282527881041,0,2529,5000,2,0.001,4,9,"5000 2 0.001 4","4","PCR"
"130",40,0.948072383949646,0.908349856796651,1,0,1826,5000,2,0.001,4,10,"5000 2 0.001 4","4","PCR"
"131",41,0.955688899146088,0.867070895522388,1,0.0625,261,5000,2,0.01,4,1,"5000 2 0.01 4","5","PCR"
"132",42,0.960374802438474,0.898389095415118,0.985130111524164,0,258,5000,2,0.01,4,2,"5000 2 0.01 4","5","PCR"
"133",43,0.947361335487345,0.906716417910448,0.992537313432836,0,216,5000,2,0.01,4,3,"5000 2 0.01 4","5","PCR"
"134",44,0.961352955725946,0.868023833167825,0.99622641509434,0.105263157894737,390,5000,2,0.01,4,4,"5000 2 0.01 4","5","PCR"
"135",45,0.959584556333258,0.895910780669145,0.985130111524164,0.0666666666666667,326,5000,2,0.01,4,5,"5000 2 0.01 4","5","PCR"
"136",46,0.963184380032206,0.885964912280702,0.992481203007519,0.0555555555555556,367,5000,2,0.01,4,6,"5000 2 0.01 4","5","PCR"
"137",47,0.96243115656963,0.894359991187486,0.98876404494382,0.0588235294117647,289,5000,2,0.01,4,7,"5000 2 0.01 4","5","PCR"
"138",48,0.990312361868278,0.810714285714286,0.977777777777778,0.0714285714285714,739,5000,2,0.01,4,8,"5000 2 0.01 4","5","PCR"
"139",49,0.952773387521638,0.911028500619579,0.996282527881041,0.0666666666666667,279,5000,2,0.01,4,9,"5000 2 0.01 4","5","PCR"
"140",50,0.936506687647522,0.908129543952412,1,0,154,5000,2,0.01,4,10,"5000 2 0.01 4","5","PCR"
"141",51,0.972151703977229,0.880830223880597,1,0,2385,5000,3,0.001,4,1,"5000 3 0.001 4","6","PCR"
"142",52,0.973018740121924,0.895910780669145,0.988847583643123,0,2405,5000,3,0.001,4,2,"5000 3 0.001 4","6","PCR"
"143",53,0.961535502730979,0.913246268656716,0.992537313432836,0.0625,2151,5000,3,0.001,4,3,"5000 3 0.001 4","6","PCR"
"144",54,0.977636243713414,0.873088381330685,1,0.105263157894737,3415,5000,3,0.001,4,4,"5000 3 0.001 4","6","PCR"
"145",55,0.972642432452773,0.892193308550186,0.988847583643123,0.0666666666666667,2718,5000,3,0.001,4,5,"5000 3 0.001 4","6","PCR"
"146",56,0.973993558776168,0.886173767752715,0.992481203007519,0.0555555555555556,3112,5000,3,0.001,4,6,"5000 3 0.001 4","6","PCR"
"147",57,0.978756884343037,0.904384225600352,0.99250936329588,0,2686,5000,3,0.001,4,7,"5000 3 0.001 4","6","PCR"
"148",58,0.993553852954177,0.812169312169312,0.981481481481482,0.142857142857143,4838,5000,3,0.001,4,8,"5000 3 0.001 4","6","PCR"
"149",59,0.964250771430722,0.91449814126394,0.996282527881041,0,2420,5000,3,0.001,4,9,"5000 3 0.001 4","6","PCR"
"150",60,0.964909520062943,0.910993610927517,1,0,1826,5000,3,0.001,4,10,"5000 3 0.001 4","6","PCR"
"151",61,0.965997384414186,0.86415578358209,1,0.0625,214,5000,3,0.01,4,1,"5000 3 0.01 4","7","PCR"
"152",62,0.975445924587943,0.895910780669145,0.985130111524164,0,259,5000,3,0.01,4,2,"5000 3 0.01 4","7","PCR"
"153",63,0.961650896222786,0.906949626865672,0.992537313432836,0,214,5000,3,0.01,4,3,"5000 3 0.01 4","7","PCR"
"154",64,0.976708714650837,0.879046673286991,0.992452830188679,0.105263157894737,387,5000,3,0.01,4,4,"5000 3 0.01 4","7","PCR"
"155",65,0.970196432603296,0.892193308550186,0.992565055762082,0.0666666666666667,254,5000,3,0.01,4,5,"5000 3 0.01 4","7","PCR"
"156",66,0.9756038647343,0.883458646616541,0.996240601503759,0.0555555555555556,338,5000,3,0.01,4,6,"5000 3 0.01 4","7","PCR"
"157",67,0.976652242328875,0.897995153117427,0.99250936329588,0,258,5000,3,0.01,4,7,"5000 3 0.01 4","7","PCR"
"158",68,0.98990717548254,0.815873015873016,0.977777777777778,0.142857142857143,388,5000,3,0.01,4,8,"5000 3 0.01 4","7","PCR"
"159",69,0.968860540377813,0.912515489467162,0.996282527881041,0.0666666666666667,295,5000,3,0.01,4,9,"5000 3 0.01 4","7","PCR"
"160",70,0.958851298190401,0.920907688918264,1,0,150,5000,3,0.01,4,10,"5000 3 0.01 4","7","PCR"
"161",71,0.979767674436495,0.878964552238806,1,0,2211,5000,4,0.001,4,1,"5000 4 0.001 4","8","PCR"
"162",72,0.981485662677805,0.897893432465923,0.996282527881041,0,2377,5000,4,0.001,4,2,"5000 4 0.001 4","8","PCR"
"163",73,0.971267020540041,0.912546641791045,0.996268656716418,0.0625,1991,5000,4,0.001,4,3,"5000 4 0.001 4","8","PCR"
"164",74,0.978316431692638,0.876464746772592,1,0.0526315789473684,2234,5000,4,0.001,4,4,"5000 4 0.001 4","8","PCR"
"165",75,0.979039662828328,0.8909541511772,0.992565055762082,0.0666666666666667,2278,5000,4,0.001,4,5,"5000 4 0.001 4","8","PCR"
"166",76,0.978220611916264,0.888262322472849,0.996240601503759,0.0555555555555556,2357,5000,4,0.001,4,6,"5000 4 0.001 4","8","PCR"
"167",77,0.984185680566483,0.902621722846442,0.99250936329588,0,2315,5000,4,0.001,4,7,"5000 4 0.001 4","8","PCR"
"168",78,0.995469279504936,0.819047619047619,0.985185185185185,0.0714285714285714,3409,5000,4,0.001,4,8,"5000 4 0.001 4","8","PCR"
"169",79,0.975050801535335,0.914250309789343,0.996282527881041,0,2388,5000,4,0.001,4,9,"5000 4 0.001 4","8","PCR"
"170",80,0.971872541306058,0.909231108173606,1,0,1526,5000,4,0.001,4,10,"5000 4 0.001 4","8","PCR"
"171",81,0.975190399261482,0.864388992537313,1,0.0625,202,5000,4,0.01,4,1,"5000 4 0.01 4","9","PCR"
"172",82,0.973940693911342,0.898636926889715,0.992565055762082,0,191,5000,4,0.01,4,2,"5000 4 0.01 4","9","PCR"
"173",83,0.970959304561889,0.905550373134328,0.996268656716418,0,214,5000,4,0.01,4,3,"5000 4 0.01 4","9","PCR"
"174",84,0.974956715310413,0.881529294935452,1,0.0526315789473684,214,5000,4,0.01,4,4,"5000 4 0.01 4","9","PCR"
"175",85,0.97781666290359,0.888723667905824,1,0.0666666666666667,179,5000,4,0.01,4,5,"5000 4 0.01 4","9","PCR"
"176",86,0.982487922705314,0.889515455304929,0.996240601503759,0.0555555555555556,300,5000,4,0.01,4,6,"5000 4 0.01 4","9","PCR"
"177",87,0.983634933123525,0.903943599911875,0.99250936329588,0,227,5000,4,0.01,4,7,"5000 4 0.01 4","9","PCR"
"178",88,0.993259171946368,0.799338624338624,0.981481481481482,0.0714285714285714,297,5000,4,0.01,4,8,"5000 4 0.01 4","9","PCR"
"179",89,0.97796718597125,0.911028500619579,0.996282527881041,0,283,5000,4,0.01,4,9,"5000 4 0.01 4","9","PCR"
"180",90,0.961664044059795,0.91606080634501,1,0,132,5000,4,0.01,4,10,"5000 4 0.01 4","9","PCR"
