"","row","trainAUC","testAUC","spec","sen","best","n.trees","interaction.depth","shrinkage","n.minobsinnode","seed","id","id2","type"
"110",20,0.971747550694919,0.884391137764451,0.996168582375479,0,4525,15000,3,5e-04,4,10,"15000 3 5e-04 4","2","PCR"
"111",21,0.99205069124424,0.864039179104478,1,0,4470,15000,4,5e-04,4,1,"15000 4 5e-04 4","3","PCR"
"112",22,0.985546522131888,0.893148270544173,1,0,4774,15000,4,5e-04,4,2,"15000 4 5e-04 4","3","PCR"
"113",23,0.98790192926045,0.875522138680033,0.996240601503759,0.0555555555555556,5637,15000,4,5e-04,4,3,"15000 4 5e-04 4","3","PCR"
"114",24,0.972388632872504,0.897621268656716,0.985074626865672,0,4159,15000,4,5e-04,4,4,"15000 4 5e-04 4","3","PCR"
"115",25,0.987711213517665,0.837919776119403,0.996268656716418,0.0625,4410,15000,4,5e-04,4,5,"15000 4 5e-04 4","3","PCR"
"116",26,0.984913028044018,0.867106176266482,1,0.0454545454545455,4037,15000,4,5e-04,4,6,"15000 4 5e-04 4","3","PCR"
"117",27,0.968186638388123,0.872659176029963,1,0.117647058823529,4659,15000,4,5e-04,4,7,"15000 4 5e-04 4","3","PCR"
"118",28,0.976389189189189,0.890095962339308,1,0.0476190476190476,3428,15000,4,5e-04,4,8,"15000 4 5e-04 4","3","PCR"
"119",29,0.987574284170719,0.889582741981266,0.981549815498155,0.0769230769230769,6556,15000,4,5e-04,4,9,"15000 4 5e-04 4","3","PCR"
"120",30,0.978400546821599,0.885557221389305,0.996168582375479,0,3719,15000,4,5e-04,4,10,"15000 4 5e-04 4","3","PCR"
"121",31,0.967741935483871,0.863805970149254,1,0,2489,5000,2,0.001,4,1,"5000 2 0.001 4","4","PCR"
"122",32,0.97007187463179,0.890063890724829,0.99625468164794,0.0588235294117647,4291,5000,2,0.001,4,2,"5000 2 0.001 4","4","PCR"
"123",33,0.969975884244373,0.879699248120301,0.992481203007519,0.0555555555555556,3113,5000,2,0.001,4,3,"5000 2 0.001 4","4","PCR"
"124",34,0.94844470046083,0.895755597014925,0.98134328358209,0,2481,5000,2,0.001,4,4,"5000 2 0.001 4","4","PCR"
"125",35,0.968701996927803,0.827192164179104,0.996268656716418,0.0625,2576,5000,2,0.001,4,5,"5000 2 0.001 4","4","PCR"
"126",36,0.967030528931487,0.861554476058293,1,0.0454545454545455,2367,5000,2,0.001,4,6,"5000 2 0.001 4","4","PCR"
"127",37,0.946899179136719,0.870015421899097,1,0.117647058823529,2823,5000,2,0.001,4,7,"5000 2 0.001 4","4","PCR"
"128",38,0.952086486486487,0.886927394531957,1,0.0476190476190476,2186,5000,2,0.001,4,8,"5000 2 0.001 4","4","PCR"
